what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.team.ui,1231031277872
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1231031277872
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1231031277888
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1231031277888
started,bundle,org.eclipse.team.svn.mylyn,0.7.3.I20080814-1500,org.eclipse.team.svn.mylyn,1231031277888
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1231031277888
started,bundle,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui,1231031277888
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1231031277888
started,bundle,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.ide,1231031277888
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1231031277888
started,bundle,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,org.eclipse.ui.workbench,1231031277888
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1231031277888
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1231031277888
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1231031277888
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.3.v200809102124,org.eclipse.wst.common.project.facet.core,1231031277888
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1231031277888
started,bundle,org.codehaus.groovy,1.5.7.20081120_2330,org.codehaus.groovy,1231031277903
started,bundle,org.codehaus.groovy.eclipse,1.5.7.20081120_2330,org.codehaus.groovy.eclipse,1231031277903
started,bundle,org.codehaus.groovy.eclipse.codeassist.completion,1.5.7.20081120_2330,org.codehaus.groovy.eclipse.codeassist.completion,1231031277903
started,bundle,org.codehaus.groovy.eclipse.codebrowsing,1.5.7.20081120_2330,org.codehaus.groovy.eclipse.codebrowsing,1231031277903
started,bundle,org.codehaus.groovy.eclipse.ui,1.5.7.20081120_2330,org.codehaus.groovy.eclipse.ui,1231031277903
started,bundle,org.spearce.egit.core,0.4.0.200812082234,org.spearce.egit.core,1231031277903
started,bundle,org.spearce.egit.ui,0.4.0.200812082234,org.spearce.egit.ui,1231031277903
started,bundle,org.spearce.jgit,0.4.0.200812082234,org.spearce.jgit,1231031277903
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1231031278013
